"distance_km","timestamp_utc","latitude","longitude","frame"
"1.2","2026-09-02T15:31:45-06:00","38.79","-105.20333","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.40N/10512.20Wj130/022/A=009133BAKSTAAJ-J 14.48V"
"1.2","2026-09-03T18:21:36-06:00","38.79","-105.20283","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.40N/10512.17Wj190/026/A=009068BAKSTAAJ-J 14.59V"
"1.2","2026-09-03T18:22:06-06:00","38.79083","-105.20417","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.45N/10512.25Wj331/017/A=009002BAKSTAAJ-J 14.47V"
"1.2","2026-09-03T18:28:09-06:00","38.79117","-105.20717","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.47N/10512.43Wj332/034/A=008854BAKSTAAJ-J 14.62V"
"1.2","2026-09-03T21:14:51-06:00","38.79367","-105.2105","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.62N/10512.63Wj122/036/A=008943N0JCG 444.440 MHz 14.43V"
"1.2","2026-09-03T21:16:51-06:00","38.7905","-105.2045","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.43N/10512.27Wj004/021/A=008979N0JCG 444.440 MHz 14.39V"
"1.3","2026-09-02T15:00:59-06:00","38.78933","-105.20483","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.36N/10512.29Wj194/031/A=008936BAKSTAAJ-J 14.58V"
"1.3","2026-09-02T15:31:15-06:00","38.78983","-105.20467","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.39N/10512.28Wj014/022/A=009025BAKSTAAJ-J 14.57V"
"1.3","2026-09-03T18:28:39-06:00","38.794","-105.21167","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.64N/10512.70Wj273/034/A=008959BAKSTAAJ-J 14.63V"
"1.3","2026-09-03T21:15:21-06:00","38.79033","-105.207","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.42N/10512.42Wj186/032/A=008858N0JCG 444.440 MHz 14.44V"
"1.3","2026-09-03T21:17:21-06:00","38.78933","-105.20317","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.36N/10512.19Wj158/016/A=009061N0JCG 444.440 MHz 14.34V"
"1.5","2026-09-03T18:22:36-06:00","38.78817","-105.2055","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.29N/10512.33Wj227/022/A=008894BAKSTAAJ-J 14.57V"
"1.5","2026-09-03T21:14:21-06:00","38.79517","-105.216","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.71N/10512.96Wj130/032/A=008969N0JCG 444.440 MHz 14.42V"
"1.6","2026-09-02T15:30:45-06:00","38.78717","-105.2065","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.23N/10512.39Wj353/022/A=008979BAKSTAAJ-J 14.57V"
